https://www.google.com,www.google.com,Search Engines/Portals
https://www.baidu.com,www.baidu.com,Search Engines/Portals
https://www.careerpower.in/current-affairs.html,www.careerpower.in,Education
https://affairscloud.com/current-affairs/,affairscloud.com,News
https://www.qq.com,www.qq.com,Search Engines/Portals
https://www.sohu.com,www.sohu.com,Search Engines/Portals
https://www.facebook.com,www.facebook.com,Social Networking
https://www.thehindu.com/google-news/,www.thehindu.com,News
https://www.imdb.com/title/tt7286456/,www.imdb.com,Entertainment
https://climate.nasa.gov/evidence/,https://climate.nasa.gov/,Government/Legal
